,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_filter__n,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
253,1.1086921691894531,0.09798545309369264,0.16619043350219725,0.0271472542388493,0.001,"(25, 25)",8,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (25, 25), 'filter__n': 8}",0.9045502144712728,0.8970825762164344,0.8687462144155057,0.897769028871391,0.8755447451099624,0.8887475637266528,0.013964730760572964,215,0.8999684223822155,0.8874505732399655,0.8897192339128321,0.9034615299653183,0.8739583701140499,0.8909116259228762,0.010395568483535754
254,1.0940229892730713,0.059133108650697215,0.17441062927246093,0.029406363624995338,0.001,"(25, 25)",9,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (25, 25), 'filter__n': 9}",0.9091769539037798,0.904865737936604,0.8792751867555018,0.889117706440541,0.9066838958143307,0.897824670411794,0.011635374128710163,190,0.901398888467854,0.8966157856369702,0.9043495548830327,0.8993748481300667,0.8944473308549437,0.8992372815945735,0.003482604661629151
255,1.2424074172973634,0.16435274109714582,0.14517478942871093,0.010796836259137941,0.001,"(25, 25)",10,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (25, 25), 'filter__n': 10}",0.9058289868497894,0.9023924894003635,0.8825257419745609,0.8871492025035332,0.9029441572919834,0.8961690115138465,0.009439478598360421,200,0.9041350890488822,0.9078950275022641,0.9103845898959554,0.9056793832423953,0.9048371475987027,0.9065862474576398,0.0022816766225810404
256,1.1569902420043945,0.11337109563039738,0.1642505168914795,0.03149204966190244,0.001,"(25, 25)",15,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (25, 25), 'filter__n': 15}",0.9180276698149304,0.9212093680597617,0.9021199273167776,0.8951140722794266,0.9244704570791527,0.9121862980443998,0.011480848037446206,112,0.9136967917140332,0.9189555766639422,0.9159513132607302,0.9090790607258827,0.92494432450428,0.9165254133737737,0.005302124431409509
257,1.1739272117614745,0.23638380255508734,0.16658730506896974,0.023833515268027215,0.001,"(25, 25)",20,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (25, 25), 'filter__n': 20}",0.894219344704674,0.9158994548758326,0.9059660811629315,0.9154855643044619,0.9020370933414412,0.9067190798056207,0.008247066070105632,157,0.9130083996463307,0.9274293666747666,0.9268881574587466,0.9356822549647661,0.9093681114972735,0.9224752580483768,0.009796533466018666
258,1.1456908702850341,0.18318785278817495,0.16462035179138185,0.02763654195684864,0.001,"(25, 25)",25,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (25, 25), 'filter__n': 25}",0.9020933604527055,0.9276196244700181,0.9080254391278012,0.8828891580860083,0.9224941724941724,0.9086180152702276,0.015863621071590606,146,0.9220948591638246,0.9149660915858535,0.9230687667056926,0.9074532240606153,0.9376929411289957,0.9210551765289964,0.010040326316039211
259,1.2105325698852538,0.1635050168012897,0.15842576026916505,0.039234199184708746,0.001,"(25, 25)",30,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (25, 25), 'filter__n': 30}",0.9059296775882555,0.9249646678780535,0.9157177468201089,0.920109024833434,0.9271409749670619,0.9187658310579483,0.007544234457182659,51,0.9229079828217758,0.9296715191411342,0.9377012966931012,0.9458061808301487,0.9379665896583556,0.934810713828903,0.0078396638140678
260,0.9803837776184082,0.13181152552768868,0.16269583702087403,0.02272155980484053,0.001,"(25, 25)",35,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (25, 25), 'filter__n': 35}",0.8738445737761041,0.9137492428831011,0.8836260852008884,0.906420351302241,0.9302928955102869,0.9015690991998242,0.020432623395751998,175,0.9117263483642793,0.9084892531312821,0.9089089664008482,0.9296958183304249,0.9397399456233889,0.9197120663700448,0.012706072946407434
261,1.1342470169067382,0.21648774042343977,0.1867581844329834,0.040265434795644074,0.001,"(25, 25)",40,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (25, 25), 'filter__n': 40}",0.9262037577783596,0.9413082980012112,0.8974964667878051,0.8790430042398545,0.9178473700212831,0.9123823745171801,0.021867601493095287,110,0.9351758873310599,0.9526298349864147,0.9238838940555348,0.9069849124124677,0.9189136531700354,0.9275176363911026,0.015479642698475096
262,2.673162317276001,0.5183763161928833,0.2912023067474365,0.032488494311097335,0.001,"(25, 25)",45,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (25, 25), 'filter__n': 45}",0.9017912882373079,0.9373712901271957,0.909903089036947,0.9095800524934382,0.9224941724941724,0.9162215490106518,0.012483464578251734,71,0.9147056966022483,0.9384656166471538,0.9378250016567629,0.9300161258256201,0.9229524910843543,0.9287929863632278,0.009046505014965454
263,2.8262946605682373,0.30232921056758294,0.26489834785461425,0.034320698659322975,0.001,"(25, 25)",50,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (25, 25), 'filter__n': 50}",0.9039611736512474,0.9327478295982233,0.9008378760347265,0.9049565919644659,0.8842505320766189,0.9053569219823154,0.015605018135471639,165,0.932000757862827,0.9299918266363297,0.9217654465528285,0.9294749166096001,0.9013456067431035,0.9229157108809378,0.011333359371159939
264,73.05875945091248,106.85356231687533,0.833781099319458,1.0860027386735926,0.001,"(25, 25)",55,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (25, 25), 'filter__n': 55}",0.9032714420927563,0.9223097112860892,0.9041792852816475,0.9128306077124974,0.9290108442282355,0.9143123845170975,0.010066116846661801,92,0.9218217127699886,0.9079701340873445,0.9283659899710619,0.9441560449755902,0.9555664776768374,0.9315760718961645,0.01671219758118352
265,201.1495409488678,101.9042407913934,1.1955878734588623,1.0908567702671133,0.001,"(25, 25)",60,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (25, 25), 'filter__n': 60}",0.9071077592283062,0.9335251362810418,0.9053704825358367,0.9264284272158286,0.922600587817979,0.9190016671783482,0.011013754531011279,49,0.9305702917771882,0.9389317192780933,0.9282179858181094,0.9476043208376591,0.9411144935358416,0.9372877622493784,0.0070874974739245635
266,169.96697082519532,103.56299446257555,0.2876232624053955,0.035185761641861504,0.001,"(100, 25, 100)",2,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (100, 25, 100), 'filter__n': 2}",0.8078065529532594,0.8371996769634564,0.808267716535433,0.7931556632344033,0.8171075301510083,0.8127045394652769,0.014458488638089528,349,0.818146078059871,0.8089200114868893,0.8148821489319402,0.8134241975744989,0.804589728974461,0.8119924330055321,0.004743575789021001
267,4.470824813842773,0.6554768195355942,0.273804235458374,0.01627972958028249,0.001,"(100, 25, 100)",3,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (100, 25, 100), 'filter__n': 3}",0.8330950319189642,0.8414092469210579,0.8270845951948312,0.8176963456491017,0.8578088578088577,0.8354111403973544,0.01360422031339099,329,0.8417803460906909,0.8137445050696945,0.8412666504672072,0.843184077403963,0.8451158781721793,0.837018291440747,0.011713092489768906
268,7.22815260887146,0.9966741528668688,0.25814971923828123,0.034287611538417744,0.001,"(100, 25, 100)",4,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (100, 25, 100), 'filter__n': 4}",0.8547485752260505,0.8572986069049059,0.8535433070866142,0.8474560872198666,0.8569017938583154,0.853989005357712,0.0035462694038482273,300,0.8600369458128078,0.8572753981753519,0.8645165565839757,0.863507035719808,0.84745986067885,0.8585591593941586,0.006115527597008609
269,6.307549476623535,1.1192668139609705,0.3062294960021973,0.12305277770365157,0.001,"(100, 25, 100)",5,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (100, 25, 100), 'filter__n': 5}",0.8625219002356164,0.8558348475671309,0.8454875832828589,0.8552392489400362,0.8655011655011654,0.8569160238677014,0.0069232164049633895,296,0.8587375268409752,0.8525238021604189,0.8555545737701298,0.8638030440257128,0.8666294445817592,0.8594496782757991,0.005179721928878475
270,61.030494403839114,113.4775924517097,0.2737134456634521,0.01909226275747892,0.001,"(100, 25, 100)",6,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (100, 25, 100), 'filter__n': 6}",0.8652808264695812,0.8603674540682412,0.8617403593781545,0.8787704421562688,0.9007550420593899,0.8733718079891875,0.015151183852322416,265,0.8804660856384994,0.8449137378780179,0.8863681548079261,0.885111224016435,0.8846048111699043,0.8762928027021566,0.015814099778384667
271,237.83618817329406,92.66214652845578,0.7318170070648193,0.9137810053877257,0.001,"(100, 25, 100)",7,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (100, 25, 100), 'filter__n': 7}",0.8950953541293272,0.8936503129416514,0.8727740763173834,0.8688370684433676,0.9104236343366778,0.8881513288982135,0.015383881549473614,218,0.8895825438928887,0.8936601206123397,0.8983145198701098,0.8926020013695907,0.8886436490842231,0.8925605669658305,0.0034213908332799436
272,161.4581199169159,128.999091242174,0.28353180885314944,0.025252469243035192,0.001,"(100, 25, 100)",8,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (100, 25, 100), 'filter__n': 8}",0.9032714420927563,0.8858671512214819,0.8707147183525135,0.8599535634968705,0.9105300496604845,0.8860651307388687,0.019034747314099976,232,0.9087170013894152,0.8853586339437585,0.9049923788906316,0.8842740064945105,0.8913779275348429,0.8949439896506318,0.010090692367405478
273,6.70941948890686,2.2864759944470303,0.27992925643920896,0.04437112903607268,0.001,"(100, 25, 100)",9,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (100, 25, 100), 'filter__n': 9}",0.9060303683267212,0.905279628507975,0.8832121946295173,0.9003331314354934,0.9100486470051686,0.9009795460683421,0.009404877810491017,180,0.9127289377289377,0.9090326713645098,0.9071064083589211,0.9076255274028584,0.9021728575968362,0.9077332804904128,0.0034049343618061806
274,5.036390924453736,1.120539349845785,0.2601099967956543,0.0499742172965586,0.001,"(100, 25, 100)",10,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (100, 25, 100), 'filter__n': 10}",0.896877580200173,0.8909953563496869,0.885180698566525,0.8870583484756711,0.9140012161751292,0.894817322054066,0.010386290878202515,206,0.9017904509283821,0.8905807506240475,0.9159005058649407,0.9165212397004571,0.9025949951323349,0.9054775884500325,0.009740837180976741
