,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_pca__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
37,1.212494707107544,0.28922559984028773,0.0,0.0,0.1,"(50,)",57,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'pca__n_components': 57}",0.8944241461477362,0.9383847916947554,0.9284938601620585,0.9248146106563772,0.9342088960475768,0.9240529054293096,0.015542945280050692,47,0.9225791329348055,0.9260194610847011,0.9415627319298336,0.9387382145162575,0.9346261705684308,0.9327051422068058,0.007290810695688525
38,0.30312495231628417,0.04485314133337744,0.009375286102294923,0.007654889120515543,0.1,"(25,)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'pca__n_components': 2}",0.8440120158439,0.8513956026820522,0.8281267370761535,0.8178759672535607,0.8682009477065271,0.8419147420217982,0.017619055377796643,380,0.8620669091776466,0.8207533169095546,0.847910780597748,0.824951896219968,0.8642677676799051,0.8439901341169644,0.01819740566392853
39,0.23749961853027343,0.07743769643570325,0.0,0.0,0.1,"(25,)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'pca__n_components': 5}",0.850814921739505,0.8502730425032704,0.830989516747635,0.8858372318367944,0.8739631802549043,0.8583683897162617,0.019337207389220394,363,0.8705475841679293,0.8403236928100708,0.8513552503110184,0.8860332168682159,0.8611945343429684,0.8618908557000406,0.015712535823407828
40,0.2937488555908203,0.18178825374843294,0.0062485218048095705,0.007652845230683019,0.1,"(25,)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'pca__n_components': 8}",0.8394484049434366,0.8603674652570553,0.8555482670738658,0.8720710506424795,0.9049100500473407,0.866448717889387,0.021883957878231487,353,0.872937113379525,0.8632809702983477,0.8667613992560621,0.8471960027424696,0.90574700054308,0.8711844972438969,0.019261960959668267
41,0.30312418937683105,0.06745943226443159,0.006249904632568359,0.007654538645424632,0.1,"(25,)",11,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'pca__n_components': 11}",0.8419410478670227,0.9160209292327696,0.8709318939514209,0.8938803575521432,0.8705357142857124,0.8786531082466278,0.024913844668765117,351,0.8729558260752005,0.8938743524483801,0.8747126679179152,0.8913939766212425,0.85770848731902,0.8781290620763518,0.013261267812482503
42,0.42812204360961914,0.13785376881662909,0.003124570846557617,0.006249141693115234,0.1,"(25,)",14,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'pca__n_components': 14}",0.8303434709228895,0.8907593236827358,0.9044830625865761,0.8937626380463527,0.9107162403765449,0.8859879866356118,0.028764338278588434,341,0.8714729291806188,0.8902174899211069,0.9101341456800338,0.9018051946247108,0.9178264800535616,0.8982912478920063,0.016239674452045112
43,0.45937309265136717,0.039029844160442695,0.02812366485595703,0.03479581669603194,0.1,"(25,)",17,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'pca__n_components': 17}",0.8517166454127009,0.9089483915469995,0.8780581941377019,0.9095787496646098,0.9029868025005775,0.8902418342434846,0.022454262298224198,327,0.8868211649717417,0.9014263440549689,0.8837790889912329,0.9168280305046431,0.9007880390584407,0.8979285335162054,0.011842152281362893
44,0.4187471866607666,0.12199213566232472,0.006250143051147461,0.007654830665549898,0.1,"(25,)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'pca__n_components': 20}",0.8802663888292608,0.9170141392607455,0.8969161487693478,0.9043147658787772,0.9098838736797844,0.9016698653069215,0.01257954994507261,283,0.9093135153931359,0.9030814983402652,0.9074812836305237,0.9102335676568671,0.9168929349614443,0.9094005599964472,0.004482216485731619
45,0.5531217575073242,0.10762322584328565,0.0031251430511474608,0.0062502861022949215,0.1,"(25,)",23,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'pca__n_components': 23}",0.8887169664342156,0.9011870218939594,0.9039445435416513,0.8895647215358299,0.923124837788735,0.9012969325645446,0.01248107040163854,286,0.91790403083664,0.8902923048188204,0.9058917058420706,0.8916866478525167,0.9187266191605569,0.9049002617021209,0.012241250990203392
46,0.6499979972839356,0.03217366356931876,0.01250009536743164,0.011692513672627474,0.1,"(25,)",26,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'pca__n_components': 26}",0.8805689501899195,0.9107506793478262,0.9119801022523146,0.9221286085986867,0.9197300961493499,0.9090195254610481,0.014891878882283613,217,0.9149726870115416,0.8977885386900092,0.9133820916830245,0.918909607089203,0.926184193625581,0.9142474236198719,0.009342292356307279
47,0.6999969482421875,0.038779311822928486,0.0031250476837158202,0.0062500953674316405,0.1,"(25,)",29,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'pca__n_components': 29}",0.8920246305939015,0.9115699259836385,0.8883733192723439,0.9123759791122716,0.9145398908482905,0.90376975684524,0.011188725169655713,259,0.9152587573523221,0.9078424169329423,0.9067158224378771,0.9160483318838653,0.9087140698523302,0.9109158796918674,0.00392777984906484
48,0.7374982357025146,0.06658569997620516,0.006250238418579102,0.0076549474663224195,0.1,"(25,)",32,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'pca__n_components': 32}",0.9000457228146332,0.9150209896156638,0.9051724137931036,0.9077435314010168,0.9201923228170982,0.9096287393802277,0.007153768732434258,206,0.9185330406802038,0.9137976679673511,0.918735194149753,0.9119683939285943,0.9191514249990265,0.9164371443449857,0.0029657275550583305
49,0.7937472343444825,0.11022014254743452,0.021875619888305664,0.028979718477759393,0.1,"(25,)",35,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'pca__n_components': 35}",0.8898270838207457,0.9238523589385038,0.9027200000000002,0.9282143488156979,0.9189732633761653,0.9127083593816651,0.014338379095273038,174,0.9124145468572513,0.9192745475123482,0.9230153557666974,0.9347265757878043,0.9123983247973162,0.9203658701442834,0.00826009620526398
50,0.7687465190887451,0.1684026613880613,0.00624995231628418,0.012499904632568358,0.1,"(25,)",38,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'pca__n_components': 38}",0.9001890399095986,0.9140142517814728,0.9107506793478262,0.9160209292327697,0.9066077759051536,0.9095145418390924,0.005650569805606097,209,0.9120073888567946,0.9254703245554656,0.9222840452920803,0.9264339921436313,0.9133614744848971,0.9199114450665737,0.006073717355338606
51,0.9749955177307129,0.13785244902448177,0.01562509536743164,4.6720309119857363e-07,0.1,"(25,)",41,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'pca__n_components': 41}",0.8851916320493789,0.9322453016815034,0.9060434722649496,0.9260377830080608,0.9274673008323413,0.9153839688775627,0.01757171627612927,135,0.9156749012086041,0.925162739525071,0.9352696473239703,0.9336488577409626,0.9284351601920116,0.9276382611981239,0.0069892855543553815
52,0.81874680519104,0.21231715947742325,0.01250009536743164,0.006250047717366867,0.1,"(25,)",44,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'pca__n_components': 44}",0.8781654156345876,0.90377583127817,0.9107506793478262,0.9235946653371558,0.9062694628641995,0.9045024829274098,0.014845302127527693,256,0.9129276407353879,0.8982607314086986,0.9236916140501956,0.9339570031980112,0.9139193958471121,0.9165512770478811,0.011904161573829092
53,0.500001335144043,0.06480398919479138,0.02187337875366211,0.012501467045280408,0.1,"(25,)",47,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'pca__n_components': 47}",0.8932227768846771,0.9117740399873057,0.90377583127817,0.9192165696764909,0.9189732633761653,0.9093844991950676,0.009871627613887348,210,0.9226421689534794,0.9159930415818567,0.9244834505116829,0.9307723253878959,0.9237516858065354,0.92352853444829,0.004711761134098105
54,0.48437275886535647,0.13693182556356873,0.006250715255737305,0.007655531960244479,0.1,"(25,)",50,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'pca__n_components': 50}",0.8933343960043569,0.9157987017053163,0.908491378851861,0.9221286085986868,0.9161182168136086,0.9111671846740178,0.009917061165579402,194,0.9148094889824042,0.9166342902201625,0.9209987102203555,0.9009377116163703,0.9373205018717451,0.9181401405822074,0.011707622024050426
55,0.8406226158142089,0.07868195767220734,0.0,0.0,0.1,"(25,)",53,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'pca__n_components': 53}",0.8991220401307666,0.926580042891384,0.9097202990861257,0.9155785471656955,0.8995308032164452,0.9101062195530257,0.010334287321181149,203,0.9243595190794974,0.923934441239752,0.927697558175029,0.9355778583831018,0.9178088611855586,0.9258756476125878,0.005806758529560266
56,1.4374964714050293,0.9052245117675989,0.0,0.0,0.1,"(25,)",57,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'pca__n_components': 57}",0.8967084299913866,0.9356080886289693,0.8889516015239171,0.9260377830080608,0.910529456017016,0.9115627795897626,0.017441493128345305,187,0.9180373090583066,0.9314075804883117,0.9025295109612081,0.9314975198356354,0.9346261705684308,0.9236196181823786,0.011998438936137458
57,0.2812459945678711,0.029644317564021822,0.0,0.0,0.1,"(25, 25)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25, 25), 'pca__n_components': 2}",0.8290158257267275,0.8755731225296444,0.8248512888301388,0.8604454766177559,0.8449723372151489,0.8469666547455327,0.019056766763085806,376,0.848467812808496,0.8501367905459305,0.8434751215173504,0.8503577294093122,0.8344196470710751,0.845371420270433,0.006011604854145937
58,0.3562469005584717,0.06658414021140853,0.0031258106231689454,0.006251621246337892,0.1,"(25, 25)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25, 25), 'pca__n_components': 5}",0.8745846153846152,0.8942402180919071,0.8870109546165884,0.8939991835623895,0.8914144871970406,0.8882446651022434,0.0073143975147952215,335,0.8933560477001683,0.878156126939997,0.8914057295136509,0.893460721087052,0.8873922126534887,0.8887541675788715,0.005736429444735355
59,0.5374972343444824,0.0716705441343881,0.01874966621398926,0.022963557536011266,0.1,"(25, 25)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25, 25), 'pca__n_components': 8}",0.8721911819897347,0.9020785799510184,0.874375333940975,0.9007303218826076,0.9091565494548556,0.8916949135160539,0.015328721135827617,316,0.9026846849805403,0.8940929904093611,0.8896514838848818,0.9063649131328254,0.9097738822049233,0.9005135909225064,0.007535437557291875
60,0.5593719482421875,0.08523983488243406,0.01875,0.0375,0.1,"(25, 25)",11,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25, 25), 'pca__n_components': 11}",0.8919198767982253,0.9257704387847125,0.8949412302197118,0.9036570737258683,0.8979464841319214,0.9028451491149035,0.012101294455505623,271,0.9072982446927208,0.9128767421701568,0.9003383609565806,0.9156420609385916,0.9087099477158191,0.9089730712947738,0.00523730025799379
61,0.4781226634979248,0.05978441386983977,0.0,0.0,0.1,"(25, 25)",14,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25, 25), 'pca__n_components': 14}",0.8944241461477364,0.9137999873915145,0.8895647215358297,0.9004329004329007,0.9228813822037129,0.9042117898913897,0.012366966625720082,257,0.9130191146254886,0.9064520203469958,0.9013884338705822,0.9078424169329423,0.9190438177319213,0.9095491607015861,0.006021491633072384
62,0.5531229496002197,0.17331517780326178,0.03749895095825195,0.04592664786868379,0.1,"(25, 25)",17,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25, 25), 'pca__n_components': 17}",0.8898270838207457,0.8978548239937194,0.9070822188626584,0.9090168856680476,0.8968922511797776,0.9001324585536361,0.00706071002364727,290,0.9088590053964719,0.9033431152540363,0.911370695907201,0.9233640710614552,0.9007501442585175,0.9095374063755365,0.007881409172771473
63,0.5687477111816406,0.16225877703329256,0.03749837875366211,0.05191650835027675,0.1,"(25, 25)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25, 25), 'pca__n_components': 20}",0.880517307939776,0.9189806404733483,0.9055159286296987,0.9170935190013191,0.9038757666710152,0.9051893783633013,0.013736034862347353,251,0.9109398994259484,0.9209442500287998,0.9112161506712615,0.9307623310300646,0.9197798187596837,0.9187284899831514,0.00732018578894479
64,0.5749957084655761,0.18365772190814156,0.0062502861022949215,0.007655005921287232,0.1,"(25, 25)",23,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25, 25), 'pca__n_components': 23}",0.8863937721887164,0.9316618004369399,0.9069003977356427,0.9055159286296987,0.9221538798064642,0.9105140501360086,0.015512791520949767,200,0.898213121125133,0.9287460389316392,0.911568055065458,0.9203221726685703,0.9276835919676987,0.9173065959516998,0.011358945702823683
65,0.7374945163726807,0.0701567664044392,0.01875004768371582,0.02500002384202844,0.1,"(25, 25)",26,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25, 25), 'pca__n_components': 26}",0.8815487941062835,0.9221286085986866,0.9260377830080607,0.9155785471656956,0.9296254256526665,0.9149689010753637,0.017362437907975307,140,0.9015264355170858,0.9225786257672005,0.9237306014486627,0.9266068854791877,0.9329344671234893,0.9214754030671253,0.010601005491666704
